time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-20 00:00:00+00:00,,,11,5
2024-06-21 00:00:00+00:00,,,6,3
2024-06-22 00:00:00+00:00,,,84,3
2024-06-23 00:00:00+00:00,,,4,4
2024-06-24 00:00:00+00:00,,,6,5
2024-06-25 00:00:00+00:00,,,30,11
2024-06-26 00:00:00+00:00,1.0,1.0,130,12
2024-06-27 00:00:00+00:00,,,124,16
2024-06-28 00:00:00+00:00,1.0,1.0,5,3
2024-06-29 00:00:00+00:00,,,22,6
2024-06-30 00:00:00+00:00,1.0,1.0,12,9
2024-07-01 00:00:00+00:00,2.0,2.0,60,7
2024-07-02 00:00:00+00:00,,,34,12
2024-07-03 00:00:00+00:00,,,26,7
