time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-09 00:00:00+00:00,9,8,122,11
2023-12-10 00:00:00+00:00,3,2,42,8
2023-12-11 00:00:00+00:00,6,5,72,16
2023-12-12 00:00:00+00:00,1,1,124,24
2023-12-13 00:00:00+00:00,0,0,45,10
2023-12-14 00:00:00+00:00,4,3,66,9
2023-12-15 00:00:00+00:00,1,1,26,8
2023-12-16 00:00:00+00:00,4,3,35,7
2023-12-17 00:00:00+00:00,2,2,9,4
2023-12-18 00:00:00+00:00,1,1,108,14
2023-12-19 00:00:00+00:00,0,0,46,13
2023-12-20 00:00:00+00:00,3,3,93,12
2023-12-21 00:00:00+00:00,7,6,100,17
2023-12-22 00:00:00+00:00,2,2,16,5
2023-12-23 00:00:00+00:00,1,1,17,6
